"","date","time","size","r_version","r_arch","r_os","package","version","country","ip_id","received"
"1","2019-10-23","05:11:16",1099904,NA,NA,NA,"heuristicsmineR","0.2.1","US",44,1574226676.76389
"2","2019-10-23","05:11:16",123306,NA,NA,NA,"xaringan","0.12",NA,5,1574226676.76389
"3","2019-10-23","05:11:16",131294,"3.5.0","x86_64","linux-gnu","bibtex","0.4.2","US",52644,1574226676.76389
"4","2019-10-23","05:11:16",1350067,"3.4.4","x86_64","linux-gnu","sandwich","2.5-1","HK",66633,1574226676.76389
"5","2019-10-23","05:11:16",1350068,"3.6.1","x86_64","mingw32","sandwich","2.5-1","HK",66636,1574226676.76389
"6","2019-10-23","05:11:16",1350068,"3.6.1","x86_64","mingw32","sandwich","2.5-1","HK",66637,1574226676.76389
"7","2019-10-23","05:11:16",1350075,"3.6.1","x86_64","mingw32","sandwich","2.5-1","HK",66638,1574226676.76389
"8","2019-10-23","05:11:16",1373364,"3.5.0","x86_64","mingw32","RcppArmadillo","0.9.800.1.0","HK",66636,1574226676.76389
"9","2019-10-23","05:11:16",1373364,"3.6.1","x86_64","mingw32","RcppArmadillo","0.9.800.1.0","HK",66637,1574226676.76389
"10","2019-10-23","05:11:16",1373371,"3.5.0","x86_64","mingw32","RcppArmadillo","0.9.800.1.0","HK",66638,1574226676.76389
"11","2019-10-23","05:11:16",1373374,"3.6.1","x86_64","mingw32","RcppArmadillo","0.9.800.1.0","HK",66633,1574226676.76389
"12","2019-10-23","05:11:16",1528742,NA,NA,NA,"DoE.base","1.1-3","US",66521,1574226676.76389
"13","2019-10-23","05:11:16",1580040,"3.6.1","x86_64","mingw32","lubridate","1.7.4","KR",1932,1574226676.76389
"14","2019-10-23","05:11:16",1631567,NA,NA,NA,"rvest","0.3.4","KR",23777,1574226676.76389
"15","2019-10-23","05:11:16",1758365,NA,NA,NA,"units","0.6-5","US",69172,1574226676.76389
"16","2019-10-23","05:11:16",19008817,"3.6.1","x86_64","mingw32","BH","1.69.0-1","US",52644,1574226676.76389
"17","2019-10-23","05:11:16",201045,NA,NA,NA,"magrittr","1.5","US",43,1574226676.76389
"18","2019-10-23","05:11:16",21000,"3.2.2","x86_64","mingw32","lsmeans","2.30-0","IN",1807,1574226676.76389
"19","2019-10-23","05:11:16",219409,NA,NA,NA,"utf8","1.1.4","US",1452,1574226676.76389
"20","2019-10-23","05:11:16",2274316,NA,NA,NA,"tidycensus","0.9.2","US",69172,1574226676.76389
"21","2019-10-23","05:11:16",247259,"3.6.1","x86_64","mingw32","gower","0.2.1","KR",1932,1574226676.76389
"22","2019-10-23","05:11:16",257210,NA,NA,NA,"rsconnect","0.8.15","US",43,1574226676.76389
"23","2019-10-23","05:11:16",2841985,NA,NA,NA,"NMF","0.21.0","SG",1740,1574226676.76389
"24","2019-10-23","05:11:16",3167307,NA,NA,NA,"x3ptools","0.0.2",NA,5,1574226676.76389
"25","2019-10-23","05:11:16",3266755,"3.6.1","x86_64","mingw32","dplyr","0.8.3","KR",1932,1574226676.76389
"26","2019-10-23","05:11:16",32974386,"3.5.0","x86_64","mingw32","rgdal","1.4-6","US",69095,1574226676.76389
"27","2019-10-23","05:11:16",3503785,NA,NA,NA,"xml2","1.2.2","US",69172,1574226676.76389
"28","2019-10-23","05:11:16",3696871,"3.4.0","x86_64","mingw32","maps","3.3.0","US",69181,1574226676.76389
"29","2019-10-23","05:11:16",38994,"3.5.2","x86_64","mingw32","bitops","1.0-6","US",52644,1574226676.76389
"30","2019-10-23","05:11:16",400256,"3.6.1","x86_64","mingw32","ipred","0.9-9","KR",1932,1574226676.76389
"31","2019-10-23","05:11:16",40424,"3.6.1","x86_64","mingw32","BiocManager","1.30.8","CN",3401,1574226676.76389
"32","2019-10-23","05:11:16",44020,"3.6.1","x86_64","mingw32","base64enc","0.1-3","CN",66492,1574226676.76389
"33","2019-10-23","05:11:16",45912,NA,NA,NA,"rcmdcheck","1.3.3",NA,5,1574226676.76389
"34","2019-10-23","05:11:16",47963,NA,NA,NA,"aws.s3","0.3.12","US",43,1574226676.76389
"35","2019-10-23","05:11:16",588320,"3.4.4","x86_64","linux-gnu","GeneralizedHyperbolic","0.8-4","TW",66513,1574226676.76389
"36","2019-10-23","05:11:16",5899,NA,NA,NA,"aws.ec2metadata","0.2.0","US",43,1574226676.76389
"37","2019-10-23","05:11:16",62182,NA,NA,NA,"tidyverse","1.2.1","KR",23777,1574226676.76389
"38","2019-10-23","05:11:16",6263,NA,NA,NA,"askpass","1.1","US",1452,1574226676.76389
"39","2019-10-23","05:11:16",640476,"3.5.2","x86_64","mingw32","boot","1.3-23","US",52644,1574226676.76389
"40","2019-10-23","05:11:16",66290,"3.6.1","x86_64","mingw32","generics","0.0.2","KR",1932,1574226676.76389
"41","2019-10-23","05:11:16",668430,NA,NA,NA,"curl","4.2",NA,5,1574226676.76389
"42","2019-10-23","05:11:16",854034,"3.5.2","x86_64","linux-gnu","zoo","1.8-6","HK",66637,1574226676.76389
"43","2019-10-23","05:11:16",854034,"3.6.1","x86_64","mingw32","zoo","1.8-6","HK",66636,1574226676.76389
"44","2019-10-23","05:11:16",854041,"3.4.2","x86_64","mingw32","zoo","1.8-6","HK",66638,1574226676.76389
"45","2019-10-23","05:11:16",854044,"3.5.0","x86_64","mingw32","zoo","1.8-6","HK",66633,1574226676.76389
"46","2019-10-23","05:11:16",87888,NA,NA,NA,"rappdirs","0.3.1","US",69172,1574226676.76389
"47","2019-10-23","05:11:16",9163547,"3.6.1","x86_64","mingw32","igraph","1.2.4.1","AU",69111,1574226676.76389
"48","2019-10-23","05:11:16",932339,"3.6.1","x86_64","mingw32","DBI","1.0.0","US",69182,1574226676.76389
"49","2019-10-23","05:11:16",99709,"3.6.1","x86_64","mingw32","tinytex","0.16","CN",66492,1574226676.76389
"50","2019-10-23","05:11:17",1041251,"3.6.1","x86_64","mingw32","Cairo","1.5-10","US",52644,1574226677.77223
"51","2019-10-23","05:11:17",105597,"3.6.1","x86_64","mingw32","cellranger","1.1.0","US",52644,1574226677.77223
"52","2019-10-23","05:11:17",1071894,NA,NA,NA,"xbreed","1.0.1.1",NA,5,1574226677.77223
"53","2019-10-23","05:11:17",1092196,NA,NA,NA,"rlang","0.4.0","IN",1742,1574226677.77223
"54","2019-10-23","05:11:17",11169,"3.6.1","x86_64","mingw32","orcutt","2.3","IN",1807,1574226677.77223
"55","2019-10-23","05:11:17",114405,"3.5.2","x86_64","mingw32","brew","1.0-6","US",52644,1574226677.77223
"56","2019-10-23","05:11:17",122098,"3.4.4","x86_64","linux-gnu","bcp","4.0.3","HK",66633,1574226677.77223
"57","2019-10-23","05:11:17",122099,"3.4.3","x86_64","mingw32","bcp","4.0.3","HK",66637,1574226677.77223
"58","2019-10-23","05:11:17",122103,"3.5.2","x86_64","linux-gnu","bcp","4.0.3","HK",66638,1574226677.77223
"59","2019-10-23","05:11:17",122106,"3.5.0","x86_64","mingw32","bcp","4.0.3","HK",66636,1574226677.77223
"60","2019-10-23","05:11:17",123957,NA,NA,NA,"processx","3.4.1","US",1452,1574226677.77223
"61","2019-10-23","05:11:17",1296699,NA,NA,NA,"tidyr","1.0.0",NA,5,1574226677.77223
