"Region","Year","Age Range","Marijuana Use","Measure Type","Variable","Value"
"Connecticut","2004-2006","12-17","First Use of Marijuana","Percent","Margins of Error",0.91
"Connecticut","2004-2006","12-17","First Use of Marijuana","Percent","Marijuana Use",7.62
"Connecticut","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",1.38
"Connecticut","2004-2006","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",8.39
"Connecticut","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",1.88
"Connecticut","2004-2006","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",17.79
"Connecticut","2004-2006","18-25","First Use of Marijuana","Percent","Margins of Error",1.49
"Connecticut","2004-2006","18-25","First Use of Marijuana","Percent","Marijuana Use",8.33
"Connecticut","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",2.62
"Connecticut","2004-2006","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",23.34
"Connecticut","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",3.08
"Connecticut","2004-2006","18-25","Marijuana Use in the Past Year","Percent","Marijuana Use",37.72
"Connecticut","2004-2006","Over 17","First Use of Marijuana","Percent","Margins of Error",0.18
"Connecticut","2004-2006","Over 17","First Use of Marijuana","Percent","Marijuana Use",1.07
"Connecticut","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Margins of Error",1
"Connecticut","2004-2006","Over 17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.22
"Connecticut","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Margins of Error",1.36
"Connecticut","2004-2006","Over 17","Marijuana Use in the Past Year","Percent","Marijuana Use",12.59
"Connecticut","2004-2006","Over 25","First Use of Marijuana","Percent","Margins of Error",0.07
"Connecticut","2004-2006","Over 25","First Use of Marijuana","Percent","Marijuana Use",0.16
"Connecticut","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Margins of Error",1.04
"Connecticut","2004-2006","Over 25","Marijuana Use in the Past Month","Percent","Marijuana Use",4.75
"Connecticut","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Margins of Error",1.47
"Connecticut","2004-2006","Over 25","Marijuana Use in the Past Year","Percent","Marijuana Use",8.76
"Connecticut","2006-2008","12-17","First Use of Marijuana","Percent","Margins of Error",0.81
"Connecticut","2006-2008","12-17","First Use of Marijuana","Percent","Marijuana Use",6.67
"Connecticut","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Margins of Error",1.25
"Connecticut","2006-2008","12-17","Marijuana Use in the Past Month","Percent","Marijuana Use",7.77
"Connecticut","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Margins of Error",1.71
"Connecticut","2006-2008","12-17","Marijuana Use in the Past Year","Percent","Marijuana Use",14.44
"Connecticut","2006-2008","18-25","First Use of Marijuana","Percent","Margins of Error",1.26
"Connecticut","2006-2008","18-25","First Use of Marijuana","Percent","Marijuana Use",8.14
"Connecticut","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Margins of Error",2.35
"Connecticut","2006-2008","18-25","Marijuana Use in the Past Month","Percent","Marijuana Use",20.39
"Connecticut","2006-2008","18-25","Marijuana Use in the Past Year","Percent","Margins of Error",2.83
