id,location,quantity,unit_price,cost_per_invoice,product_name,prod_name_count,product_category,invoice_date,dow,week,yr,week_year,month,floor_month,invoice_no,stock_code,product_details,brand,brand_name,brand_category
404,California,1296,1.06,1373.76,Sour Diesel,480,Flowers,2020-10-07,7,41,2020,2020-10-04,Oct,2020-10-01,570097,20971, Pre-roll,Medi Cone,Day Dreamers,Concentrates
404,California,600,0.42,252,Sour Diesel,480,Flowers,2020-07-24,24,30,2020,2020-07-19,Jul,2020-07-01,561051,21977, Pre-roll,Medi Cone,Day Dreamers,Edibles
404,California,600,1.79,1074,Sour Diesel,480,Flowers,2020-10-06,6,40,2020,2020-10-04,Oct,2020-10-01,569815,85099F, Pre-roll,Medi Cone,Day Dreamers,Medical
404,California,480,0.36,172.79999999999998,Sour Diesel,480,Pre-Roll,2020-04-18,18,16,2020,2020-04-12,Apr,2020-04-01,550344,22546, Pre-roll,Medi Cone,Day Dreamers,Concentrates
404,California,360,0.42,151.2,Sour Diesel,480,Pre-Roll,2020-03-18,18,12,2020,2020-03-15,Mar,2020-03-01,546992,21977, Pre-roll,Medi Cone,Day Dreamers,Edibles
404,California,240,2.55,612,Sour Diesel,480,Pre-Roll,2020-12-06,6,49,2020,2020-12-06,Dec,2020-12-01,580985,22666, Pre-roll,Medi Cone,Day Dreamers,Medical
216,California,240,0.39,93.60000000000001,OG Kush,423,Flowers,2020-10-28,28,44,2020,2020-10-25,Oct,2020-10-01,573263,21162, Pre-roll,Vines,Calyx Garden,Flower
216,California,200,1.74,348,OG Kush,423,Flowers,2020-10-11,11,41,2020,2020-10-11,Oct,2020-10-01,570522,22386, Pre-roll,Vines,Calyx Garden,Concentrates
216,California,192,0.72,138.24,OG Kush,423,Pre-Roll,2020-04-08,8,15,2020,2020-04-05,Apr,2020-04-01,549447,71459, Pre-roll,Vines,Calyx Garden,Flower
216,California,150,4.15,622.5,OG Kush,423,Pre-Roll,2020-11-21,21,47,2020,2020-11-15,Nov,2020-11-01,577783,47566, Pre-roll,Vines,Calyx Garden,Concentrates
558,California,150,3.21,481.5,OG Kush,423,Flowers,2020-07-12,12,28,2020,2020-07-12,Jul,2020-07-01,559700,22470, Pre-roll,Medithrive Direct,Flower Power,Medical
558,California,150,4.15,622.5,OG Kush,423,Pre-Roll,2020-11-21,21,47,2020,2020-11-15,Nov,2020-11-01,577754,47566, Pre-roll,Medithrive Direct,Flower Power,Medical
725,Nova Scotia,144,0.12,17.28,OG Kush,423,Flowers,2020-05-23,23,21,2020,2020-05-17,May,2020-05-01,554129,16049, Pre-roll,Dummies,Herban Legends,Flower
725,Nova Scotia,144,1.69,243.35999999999999,OG Kush,423,Pre-Roll,2020-02-03,3,5,2020,2020-02-02,Feb,2020-02-01,543099,72351B, Pre-roll,Dummies,Herban Legends,Flower
847,California,144,2.55,367.2,OG Kush,423,Flowers,2020-11-10,10,45,2020,2020-11-08,Nov,2020-11-01,575683,22311, Pre-roll,Medi Cone,Just Ducky,Edibles
847,California,144,1.06,152.64000000000001,OG Kush,423,Flowers,2020-11-09,9,45,2020,2020-11-08,Nov,2020-11-01,575388,84946, Pre-roll,Medi Cone,Just Ducky,Medical
847,California,144,0.72,103.67999999999999,OG Kush,423,Pre-Roll,2020-07-12,12,28,2020,2020-07-12,Jul,2020-07-01,559709,21790, Pre-roll,Medi Cone,Just Ducky,Edibles
847,California,144,0.36,51.839999999999996,OG Kush,423,Pre-Roll,2020-03-03,3,9,2020,2020-03-01,Mar,2020-03-01,545475,21509, Pre-roll,Medi Cone,Just Ducky,Medical
849,California,126,3.9,491.4,OG Kush,423,Flowers,2020-12-08,8,49,2020,2020-12-06,Dec,2020-12-01,581457,23526, Pre-roll,Canna Cones,JustHempCo,Concentrates
849,California,120,0.42,50.4,OG Kush,423,Flowers,2020-09-19,19,38,2020,2020-09-13,Sep,2020-09-01,567280,21213, Pre-roll,Canna Cones,JustHempCo,Edibles
849,California,120,2.08,249.60000000000002,OG Kush,423,Pre-Roll,2020-05-12,12,19,2020,2020-05-10,May,2020-05-01,552957,23159, Pre-roll,Canna Cones,JustHempCo,Concentrates
849,California,120,0.42,50.4,OG Kush,423,Pre-Roll,2020-08-04,4,31,2020,2020-08-02,Aug,2020-08-01,562345,84992, Pre-roll,Canna Cones,JustHempCo,Edibles
1062,California,120,3.25,390,OG Kush,423,Flowers,2020-02-11,11,6,2020,2020-02-09,Feb,2020-02-01,543737,21218, Pre-roll,California Finest,Nameless Genetics,Flower
1062,California,100,0.42,42,OG Kush,423,Flowers,2020-12-08,8,49,2020,2020-12-06,Dec,2020-12-01,581325,16169E, Pre-roll,California Finest,Nameless Genetics,Concentrates
1062,California,100,1.45,145,OG Kush,423,Flowers,2020-09-19,19,38,2020,2020-09-13,Sep,2020-09-01,567280,22383, Pre-roll,California Finest,Nameless Genetics,Vape Pens
1062,California,100,1.65,165,OG Kush,423,Pre-Roll,2020-01-05,5,1,2020,2020-01-05,Jan,2020-01-01,540157,85099B, Pre-roll,California Finest,Nameless Genetics,Flower
1062,California,100,0.72,72,OG Kush,423,Pre-Roll,2020-10-24,24,43,2020,2020-10-18,Oct,2020-10-01,572337,22355, Pre-roll,California Finest,Nameless Genetics,Concentrates
1062,California,100,1.65,165,OG Kush,423,Pre-Roll,2020-12-08,8,49,2020,2020-12-06,Dec,2020-12-01,537793,21931, Pre-roll,California Finest,Nameless Genetics,Vape Pens
235,California,96,1.45,139.2,Girl Scout Cookies,409,Flowers,2020-09-08,8,36,2020,2020-09-06,Sep,2020-09-01,565923,23029, Pre-roll,Emeralds,Cannabinique,Medical
235,California,96,0.42,40.32,Girl Scout Cookies,409,Pre-Roll,2020-06-21,21,25,2020,2020-06-21,Jun,2020-06-01,557614,23002, Pre-roll,Emeralds,Cannabinique,Medical
403,Washington,96,1.04,99.84,Girl Scout Cookies,409,Flowers,2020-05-12,12,19,2020,2020-05-10,May,2020-05-01,552882,23166, Pre-roll,Medi Cone,Dawg Star Cannabis,Flower
403,Washington,96,1.65,158.39999999999998,Girl Scout Cookies,409,Flowers,2020-09-13,13,37,2020,2020-09-13,Sep,2020-09-01,566557,22813, Pre-roll,Medi Cone,Dawg Star Cannabis,Concentrates
403,Washington,96,0.55,52.800000000000004,Girl Scout Cookies,409,Flowers,2020-02-16,16,7,2020,2020-02-16,Feb,2020-02-01,544097,84950, Pre-roll,Medi Cone,Dawg Star Cannabis,Vape Pens
403,Washington,96,0.19,18.240000000000002,Girl Scout Cookies,409,Pre-Roll,2020-08-19,19,34,2020,2020-08-16,Aug,2020-08-01,563834,22268, Pre-roll,Medi Cone,Dawg Star Cannabis,Flower
403,Washington,96,1.85,177.60000000000002,Girl Scout Cookies,409,Pre-Roll,2020-09-20,20,38,2020,2020-09-20,Sep,2020-09-01,567376,22866, Pre-roll,Medi Cone,Dawg Star Cannabis,Concentrates
403,Washington,96,1.06,101.76,Girl Scout Cookies,409,Pre-Roll,2020-08-03,3,31,2020,2020-08-02,Aug,2020-08-01,562218,22178, Pre-roll,Medi Cone,Dawg Star Cannabis,Vape Pens
400,California,96,2.55,244.79999999999998,Blue Dream,348,Flowers,2020-03-31,31,13,2020,2020-03-29,Mar,2020-03-01,548531,82494L, Pre-roll,Medi Cone,Darwin Brands,Vapes
400,California,89,6.63,590.0699999999999,Blue Dream,348,Flowers,2020-11-22,22,47,2020,2020-11-22,Nov,2020-11-01,577844,22086, Pre-roll,Medi Cone,Darwin Brands,Edibles
400,California,80,0.65,52,Blue Dream,348,Pre-Roll,2020-05-17,17,20,2020,2020-05-17,May,2020-05-01,553484,84755, Pre-roll,Medi Cone,Darwin Brands,Vapes
400,California,75,0.42,31.5,Blue Dream,348,Pre-Roll,2020-10-28,28,44,2020,2020-10-25,Oct,2020-10-01,573153,22704, Pre-roll,Medi Cone,Darwin Brands,Edibles
631,California,75,0.21,15.75,Blue Dream,348,Flowers,2020-12-08,8,49,2020,2020-12-06,Dec,2020-12-01,581467,21167, 3 Pack,SAVA,Gold Nugget Extracts,Concentrates
631,California,75,0.42,31.5,Blue Dream,348,Pre-Roll,2020-10-17,17,42,2020,2020-10-11,Oct,2020-10-01,571427,22711, 3 Pack,SAVA,Gold Nugget Extracts,Concentrates
1059,California,75,0.42,31.5,Blue Dream,348,Flowers,2020-11-23,23,47,2020,2020-11-22,Nov,2020-11-01,578233,21498, Pre-roll,California Finest,Mychron Extracts,Vapes
1059,California,72,3.29,236.88,Blue Dream,348,Pre-Roll,2020-10-26,26,43,2020,2020-10-25,Oct,2020-10-01,572772,23382, Pre-roll,California Finest,Mychron Extracts,Vapes
536,California,72,0.36,25.919999999999998,Gorilla Glue #4,223,Flowers,2020-05-17,17,20,2020,2020-05-17,May,2020-05-01,553540,22029, Pre-roll,Ganja Gold,Farm Caramels,Edibles
536,California,72,0.19,13.68,Gorilla Glue #4,223,Pre-Roll,2020-07-26,26,30,2020,2020-07-26,Jul,2020-07-01,561325,22610, Pre-roll,Ganja Gold,Farm Caramels,Edibles
557,California,72,0.36,25.919999999999998,Gorilla Glue #4,223,Flowers,2020-06-15,15,24,2020,2020-06-14,Jun,2020-06-01,556917,21509, Pre-roll,Medithrive Direct,Flower of Life CBD,Vapes
557,California,72,0.72,51.839999999999996,Gorilla Glue #4,223,Flowers,2020-09-05,5,36,2020,2020-08-30,Aug,2020-08-01,565459,21790, Pre-roll,Medithrive Direct,Flower of Life CBD,Edibles
557,California,72,1.06,76.32000000000001,Gorilla Glue #4,223,Flowers,2020-12-16,16,51,2020,2020-12-13,Dec,2020-12-01,539092,84946, Pre-roll,Medithrive Direct,Flower of Life CBD,Batteries
557,California,72,0.21,15.12,Gorilla Glue #4,223,Pre-Roll,2020-09-25,25,39,2020,2020-09-20,Sep,2020-09-01,568193,17084R, Pre-roll,Medithrive Direct,Flower of Life CBD,Vapes
557,California,72,0.12,8.64,Gorilla Glue #4,223,Pre-Roll,2020-12-06,6,49,2020,2020-12-06,Dec,2020-12-01,580982,20668, Pre-roll,Medithrive Direct,Flower of Life CBD,Edibles
557,California,72,0.42,30.24,Gorilla Glue #4,223,Pre-Roll,2020-04-11,11,15,2020,2020-04-05,Apr,2020-04-01,549628,84596J, Pre-roll,Medithrive Direct,Flower of Life CBD,Batteries
629,California,72,1.25,90,Gorilla Glue #4,223,Flowers,2020-12-07,7,49,2020,2020-12-06,Dec,2020-12-01,581175,23498, 3 Pack,SAVA,Global Genetics,Flower
629,California,72,1.06,76.32000000000001,Gorilla Glue #4,223,Pre-Roll,2020-06-02,2,22,2020,2020-05-31,May,2020-05-01,555400,21871, 3 Pack,SAVA,Global Genetics,Flower
528,California,72,0.85,61.199999999999996,Headband,165,Flowers,2020-07-18,18,29,2020,2020-07-12,Jul,2020-07-01,560295,21544, Pre-roll,Medi Cone,Extraction 710,Featured
528,California,72,0.38,27.36,Headband,165,Flowers,2020-07-07,7,27,2020,2020-07-05,Jul,2020-07-01,559358,21287, Pre-roll,Medi Cone,Extraction 710,Flower
528,California,72,3.39,244.08,Headband,165,Flowers,2020-12-02,2,49,2020,2020-11-29,Nov,2020-11-01,536616,21137, Pre-roll,Medi Cone,Extraction 710,Concentrates
528,California,65,3.36,218.4,Headband,165,Pre-Roll,2020-12-10,10,50,2020,2020-12-06,Dec,2020-12-01,538351,85049a, Pre-roll,Medi Cone,Extraction 710,Featured
528,California,64,0.72,46.08,Headband,165,Pre-Roll,2020-09-27,27,39,2020,2020-09-27,Sep,2020-09-01,568533,23293, Pre-roll,Medi Cone,Extraction 710,Flower
528,California,64,8.5,544,Headband,165,Pre-Roll,2020-04-15,15,16,2020,2020-04-12,Apr,2020-04-01,550299,22607, Pre-roll,Medi Cone,Extraction 710,Concentrates
850,California,64,2.55,163.2,Headband,165,Flowers,2020-06-15,15,24,2020,2020-06-14,Jun,2020-06-01,556845,85123A, Pre-roll,Canna Cones,K&J Clone Farm,Flower
850,California,60,4.95,297,Headband,165,Pre-Roll,2020-03-30,30,13,2020,2020-03-29,Mar,2020-03-01,548349,15056N, Pre-roll,Canna Cones,K&J Clone Farm,Flower
220,Arizona,60,1.45,87,Trainwreck,120,Flowers,2020-12-14,14,50,2020,2020-12-13,Dec,2020-12-01,538807,22906, Pre-roll,Emeralds,Canamo Concentrates,Concentrates
220,Arizona,50,1.85,92.5,Trainwreck,120,Pre-Roll,2020-04-27,27,17,2020,2020-04-26,Apr,2020-04-01,551187,22380, Pre-roll,Emeralds,Canamo Concentrates,Concentrates
