"COUNTRY","COUNTRY_GRP","AGE_GRP_2","SEX","SIGNIF_GENDER","YEAR","VALUE"
"UKR","","15YO","FEMALE","SIGNIF","2014","1"
"UKR","","15YO","MALE","SIGNIF","2014","3"
"SWE","","15YO","FEMALE","SIGNIF","2014","1"
"SWE","","15YO","MALE","SIGNIF","2014","2"
"SVN","","15YO","FEMALE","NOTSIGNIF","2014","2"
"SVN","","15YO","MALE","NOTSIGNIF","2014","3"
"RUS","","15YO","FEMALE","NOTSIGNIF","2014","4"
"RUS","","15YO","MALE","NOTSIGNIF","2014","3"
"ROU","","15YO","FEMALE","SIGNIF","2014","1"
"ROU","","15YO","MALE","SIGNIF","2014","4"
"PRT","","15YO","FEMALE","NOTSIGNIF","2014","2"
"PRT","","15YO","MALE","NOTSIGNIF","2014","4"
"POL","","15YO","FEMALE","NOTSIGNIF","2014","4"
"POL","","15YO","MALE","NOTSIGNIF","2014","5"
"NLD","","15YO","FEMALE","NOTSIGNIF","2014","3"
"NLD","","15YO","MALE","NOTSIGNIF","2014","4"
"MLT","","15YO","FEMALE","NOTSIGNIF","2014","3"
"MLT","","15YO","MALE","NOTSIGNIF","2014","3"
"MDA","","15YO","FEMALE","SIGNIF","2014","0"
"MDA","","15YO","MALE","SIGNIF","2014","1"
"LVA","","15YO","FEMALE","NOTSIGNIF","2014","4"
"LVA","","15YO","MALE","NOTSIGNIF","2014","5"
"LUX","","15YO","FEMALE","NOTSIGNIF","2014","4"
"LUX","","15YO","MALE","NOTSIGNIF","2014","7"
"LTU","","15YO","FEMALE","SIGNIF","2014","1"
"LTU","","15YO","MALE","SIGNIF","2014","4"
"ITA","","15YO","FEMALE","NOTSIGNIF","2014","1"
"ITA","","15YO","MALE","NOTSIGNIF","2014","3"
"ISR","","15YO","FEMALE","NOTSIGNIF","2014","1"
"ISR","","15YO","MALE","NOTSIGNIF","2014","3"
"ISL","","15YO","FEMALE","SIGNIF","2014","1"
"ISL","","15YO","MALE","SIGNIF","2014","3"
"IRL","","15YO","FEMALE","NOTSIGNIF","2014","3"
"IRL","","15YO","MALE","NOTSIGNIF","2014","3"
"HUN","","15YO","FEMALE","NOTSIGNIF","2014","3"
"HUN","","15YO","MALE","NOTSIGNIF","2014","1"
"HRV","","15YO","FEMALE","SIGNIF","2014","2"
"HRV","","15YO","MALE","SIGNIF","2014","6"
"GRC","","15YO","FEMALE","SIGNIF","2014","0"
"GRC","","15YO","MALE","SIGNIF","2014","2"
"GB-WLS","","15YO","FEMALE","NOTSIGNIF","2014","2"
"GB-WLS","","15YO","MALE","NOTSIGNIF","2014","4"
"GB-SCT","","15YO","FEMALE","SIGNIF","2014","3"
"GB-SCT","","15YO","MALE","SIGNIF","2014","7"
"GB-ENG","","15YO","FEMALE","NOTSIGNIF","2014","3"
"GB-ENG","","15YO","MALE","NOTSIGNIF","2014","5"
"FRA","","15YO","FEMALE","NOTSIGNIF","2014","4"
"FRA","","15YO","MALE","NOTSIGNIF","2014","6"
"FIN","","15YO","FEMALE","SIGNIF","2014","1"
"FIN","","15YO","MALE","SIGNIF","2014","3"
"EST","","15YO","FEMALE","SIGNIF","2014","4"
"EST","","15YO","MALE","SIGNIF","2014","7"
"ESP","","15YO","FEMALE","SIGNIF","2014","2"
"ESP","","15YO","MALE","SIGNIF","2014","3"
"DNK","","15YO","FEMALE","SIGNIF","2014","1"
"DNK","","15YO","MALE","SIGNIF","2014","3"
"DEU","","15YO","FEMALE","NOTSIGNIF","2014","3"
"DEU","","15YO","MALE","NOTSIGNIF","2014","4"
"CZE","","15YO","FEMALE","NOTSIGNIF","2014","6"
"CZE","","15YO","MALE","NOTSIGNIF","2014","7"
"CHE","","15YO","FEMALE","SIGNIF","2014","2"
"CHE","","15YO","MALE","SIGNIF","2014","7"
"CAN","","15YO","FEMALE","NOTSIGNIF","2014","7"
"CAN","","15YO","MALE","NOTSIGNIF","2014","8"
"BGR","","15YO","FEMALE","NOTSIGNIF","2014","4"
"BGR","","15YO","MALE","NOTSIGNIF","2014","7"
"BE-WAL","","15YO","FEMALE","NOTSIGNIF","2014","3"
"BE-WAL","","15YO","MALE","NOTSIGNIF","2014","5"
"BE-VLG","","15YO","FEMALE","SIGNIF","2014","0"
"BE-VLG","","15YO","MALE","SIGNIF","2014","3"
"AUT","","15YO","FEMALE","SIGNIF","2014","0"
"AUT","","15YO","MALE","SIGNIF","2014","3"
"ARM","","15YO","FEMALE","NOTSIGNIF","2014","1"
"ARM","","15YO","MALE","NOTSIGNIF","2014","3"
"ALB","","15YO","FEMALE","SIGNIF","2014","0"
"ALB","","15YO","MALE","SIGNIF","2014","3"
"","HBSC_MEMBER","15YO","FEMALE","NA","2014","3"
"","HBSC_MEMBER","15YO","MALE","NA","2014","4"
"","HBSC_MEMBER","15YO","ALL","NA","2014","3"

"Last update","2016.03.03 07:31:51 GMT"
"Description","Proportion of young people who report first cannabis use at age 13 or younger"
"Reference link","https://dw.euro.who.int/api/v3/measures/HBSC_26?lang=En"

"Copyright"
"© WHO Regional Office for Europe 2018. All rights reserved.","http://www.euro.who.int/en/home/copyright-notice"
