"INDICATOR","HBSC_28"

"HBSC_28","Proportion of young people who have used cannabis the last 30 days"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HBSC","Health Behaviour in School-aged Children"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HBSC","Health Behaviour in School-aged Children (HBSC), World Health Organization collaborative cross-national survey"

"AGE_GRP_2","Age groups of 11, 13, and 15 year-olds"
"11YO","11-year-olds"
"13YO","13-year-olds"
"15YO","15-year-olds"
"TOTAL","11, 13 and 15-year olds"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"SIGNIF_GENDER","Statistically significant difference between genders"
"SIGNIF","Significant difference between male and female"
"NOTSIGNIF","Statistically not significant difference between male and female"
"NA","Not applicable"

"COUNTRY","COUNTRY_GRP","AGE_GRP_2","SEX","SIGNIF_GENDER","YEAR","VALUE"
"ALB","","15YO","FEMALE","SIGNIF","2014","0"
"ALB","","15YO","MALE","SIGNIF","2014","4"
"ARM","","15YO","FEMALE","SIGNIF","2014","0"
"ARM","","15YO","MALE","SIGNIF","2014","3"
"AUT","","15YO","FEMALE","SIGNIF","2014","2"
"AUT","","15YO","MALE","SIGNIF","2014","5"
"BE-VLG","","15YO","FEMALE","NOTSIGNIF","2014","7"
"BE-VLG","","15YO","MALE","NOTSIGNIF","2014","9"
"BE-WAL","","15YO","FEMALE","NOTSIGNIF","2014","9"
"BE-WAL","","15YO","MALE","NOTSIGNIF","2014","13"
"BGR","","15YO","FEMALE","NOTSIGNIF","2014","10"
"BGR","","15YO","MALE","NOTSIGNIF","2014","12"
"CAN","","15YO","FEMALE","NOTSIGNIF","2014","13"
"CAN","","15YO","MALE","NOTSIGNIF","2014","13"
"CHE","","15YO","FEMALE","SIGNIF","2014","9"
"CHE","","15YO","MALE","SIGNIF","2014","15"
"CZE","","15YO","FEMALE","NOTSIGNIF","2014","7"
"CZE","","15YO","MALE","NOTSIGNIF","2014","8"
"DEU","","15YO","FEMALE","SIGNIF","2014","7"
"DEU","","15YO","MALE","SIGNIF","2014","9"
"DNK","","15YO","FEMALE","SIGNIF","2014","5"
"DNK","","15YO","MALE","SIGNIF","2014","10"
"ESP","","15YO","FEMALE","NOTSIGNIF","2014","9"
"ESP","","15YO","MALE","NOTSIGNIF","2014","11"
"EST","","15YO","FEMALE","SIGNIF","2014","5"
"EST","","15YO","MALE","SIGNIF","2014","10"
"FIN","","15YO","FEMALE","SIGNIF","2014","2"
"FIN","","15YO","MALE","SIGNIF","2014","5"
"FRA","","15YO","FEMALE","NOTSIGNIF","2014","14"
"FRA","","15YO","MALE","NOTSIGNIF","2014","16"
"GB-ENG","","15YO","FEMALE","NOTSIGNIF","2014","8"
"GB-ENG","","15YO","MALE","NOTSIGNIF","2014","9"
"GB-SCT","","15YO","FEMALE","SIGNIF","2014","7"
"GB-SCT","","15YO","MALE","SIGNIF","2014","13"
"GB-WLS","","15YO","FEMALE","NOTSIGNIF","2014","8"
"GB-WLS","","15YO","MALE","NOTSIGNIF","2014","7"
"HRV","","15YO","FEMALE","SIGNIF","2014","6"
"HRV","","15YO","MALE","SIGNIF","2014","11"
"HUN","","15YO","FEMALE","NOTSIGNIF","2014","4"
"HUN","","15YO","MALE","NOTSIGNIF","2014","5"
"IRL","","15YO","FEMALE","NOTSIGNIF","2014","6"
"IRL","","15YO","MALE","NOTSIGNIF","2014","8"
"ISL","","15YO","FEMALE","SIGNIF","2014","2"
"ISL","","15YO","MALE","SIGNIF","2014","3"
"ISR","","15YO","FEMALE","SIGNIF","2014","3"
"ISR","","15YO","MALE","SIGNIF","2014","9"
"ITA","","15YO","FEMALE","SIGNIF","2014","9"
"ITA","","15YO","MALE","SIGNIF","2014","15"
"LTU","","15YO","FEMALE","SIGNIF","2014","3"
"LTU","","15YO","MALE","SIGNIF","2014","9"
"LUX","","15YO","FEMALE","SIGNIF","2014","7"
"LUX","","15YO","MALE","SIGNIF","2014","11"
"LVA","","15YO","FEMALE","SIGNIF","2014","5"
"LVA","","15YO","MALE","SIGNIF","2014","9"
"MDA","","15YO","FEMALE","SIGNIF","2014","0"
"MDA","","15YO","MALE","SIGNIF","2014","2"
"MKD","","15YO","FEMALE","NOTSIGNIF","2014","1"
"MKD","","15YO","MALE","NOTSIGNIF","2014","3"
"MLT","","15YO","FEMALE","NOTSIGNIF","2014","6"
"MLT","","15YO","MALE","NOTSIGNIF","2014","9"
"NLD","","15YO","FEMALE","NOTSIGNIF","2014","8"
"NLD","","15YO","MALE","NOTSIGNIF","2014","9"
"POL","","15YO","FEMALE","SIGNIF","2014","8"
"POL","","15YO","MALE","SIGNIF","2014","13"
"PRT","","15YO","FEMALE","SIGNIF","2014","4"
"PRT","","15YO","MALE","SIGNIF","2014","7"
"ROU","","15YO","FEMALE","NOTSIGNIF","2014","2"
"ROU","","15YO","MALE","NOTSIGNIF","2014","4"
"RUS","","15YO","FEMALE","NOTSIGNIF","2014","3"
"RUS","","15YO","MALE","NOTSIGNIF","2014","4"
"SVK","","15YO","FEMALE","SIGNIF","2014","5"
"SVK","","15YO","MALE","SIGNIF","2014","8"
"SVN","","15YO","FEMALE","NOTSIGNIF","2014","9"
"SVN","","15YO","MALE","NOTSIGNIF","2014","12"
"SWE","","15YO","FEMALE","NOTSIGNIF","2014","2"
"SWE","","15YO","MALE","NOTSIGNIF","2014","2"
"UKR","","15YO","FEMALE","SIGNIF","2014","1"
"UKR","","15YO","MALE","SIGNIF","2014","4"
"","HBSC_MEMBER","15YO","FEMALE","NA","2014","6"
"","HBSC_MEMBER","15YO","MALE","NA","2014","9"
"","HBSC_MEMBER","15YO","ALL","NA","2014","7"

"Last update","2016.03.03 07:30:18 GMT"
"Description","Proportion of young people who have used cannabis the last 30 days"
"Reference link","https://dw.euro.who.int/api/v3/measures/HBSC_28?lang=En"

"Copyright"
"© WHO Regional Office for Europe 2018. All rights reserved.","http://www.euro.who.int/en/home/copyright-notice"
