floor_month,location,total_monthly_sales,median_monthly_sales
2019-12-01,California,30.180000000000003,12.96
2019-12-01,Washington,19.450000000000003,9.725000000000001
2020-01-01,Arizona,149.95,13.8
2020-01-01,British Columbia,122.22000000000001,31.200000000000003
2020-01-01,California,1477.13,6.959999999999999
2020-01-01,Colorado,140.53,5.404999999999999
2020-01-01,Manitoba,5.91,5.91
2020-01-01,Michigan,127.82000000000001,12.5
2020-01-01,Nevada,134.96,30.599999999999998
2020-01-01,Nova Scotia,77.55,13.15
2020-01-01,Oregon,99.61,12.72
2020-01-01,Washington,199.32,10.17
2020-02-01,Alberta,24.78,24.78
2020-02-01,Arizona,16.730000000000004,18.240000000000002
2020-02-01,British Columbia,20,20
2020-02-01,California,1644.11,8.29
2020-02-01,Colorado,85.74000000000001,10.2
2020-02-01,Manitoba,13.200000000000001,13.200000000000001
2020-02-01,Michigan,48.769999999999996,3.35
2020-02-01,Nevada,51.599999999999994,25.799999999999997
2020-02-01,Nova Scotia,249.14999999999998,124.57499999999999
2020-02-01,Ontario,5.1,5.1
2020-02-01,Oregon,201.32,10.79
2020-02-01,Salisbury Postcode Area (UK),23.490000000000002,11.745000000000001
2020-02-01,Saskatchewan,6.58,6.58
2020-02-01,Washington,203.4,24.75
2020-03-01,Alberta,12.600000000000001,12.600000000000001
2020-03-01,Arizona,2.95,2.95
2020-03-01,British Columbia,26.34,13.17
2020-03-01,California,2397.31,9.924999999999999
2020-03-01,Colorado,263.26,6.7
2020-03-01,Manitoba,11.8,11.8
2020-03-01,Michigan,127.03000000000002,4.96
2020-03-01,Nevada,6.79,3.395
2020-03-01,Nova Scotia,14.349999999999998,7.174999999999999
2020-03-01,Ontario,21.13,10.565
2020-03-01,Oregon,143.82,10.08
2020-03-01,Saskatchewan,19.9,19.9
2020-03-01,Washington,209.53,13.06
2020-04-01,Arizona,102.58,10.08
2020-04-01,British Columbia,27.04,27.04
2020-04-01,California,2079.87,10
2020-04-01,Colorado,151.18,11.399999999999999
2020-04-01,Michigan,29.22,5.13
2020-04-01,Nevada,41.4,15
2020-04-01,Newfoundland,19.8,19.8
