id,location,quantity,unit_price,amnt_per_invoice,product_name,prod_name_count,product_category,invoice_date,dow,week,yr,week_year,month,floor_month,invoice_no,stock_code,product_details,brand,brand_name,brand_category
404,California,800,0,0,Sour Diesel,480,Flowers,2020-05-27,27,22,2020,2020-05-24,May,2020-05-01,554857,POST,Pre-roll,Medi Cone,Day Dreamers,Concentrates
404,California,720,2.55,1835.9999999999998,Sour Diesel,480,Flowers,2020-10-11,11,41,2020,2020-10-11,Oct,2020-10-01,570557,22273,Pre-roll,Medi Cone,Day Dreamers,Edibles
404,California,720,0.85,612,Sour Diesel,480,Flowers,2020-11-16,16,46,2020,2020-11-15,Nov,2020-11-01,576827,21787,Pre-roll,Medi Cone,Day Dreamers,Medical
404,California,480,0.42,201.6,Sour Diesel,480,Pre-Roll,2020-07-24,24,30,2020,2020-07-19,Jul,2020-07-01,561055,23307,Pre-roll,Medi Cone,Day Dreamers,Concentrates
404,California,400,1.25,500,Sour Diesel,480,Pre-Roll,2020-03-10,10,10,2020,2020-03-08,Mar,2020-03-01,546154,62018,Pre-roll,Medi Cone,Day Dreamers,Edibles
404,California,400,1.45,580,Sour Diesel,480,Pre-Roll,2020-10-05,5,40,2020,2020-10-04,Oct,2020-10-01,569570,22652,Pre-roll,Medi Cone,Day Dreamers,Medical
216,California,288,0.1,28.8,OG Kush,423,Flowers,2020-12-01,1,48,2020,2020-11-29,Nov,2020-11-01,579954,20668,Pre-roll,Vines,Calyx Garden,Flower
216,California,216,0.18,38.879999999999995,OG Kush,423,Flowers,2020-10-18,18,42,2020,2020-10-18,Oct,2020-10-01,571698,21829,Pre-roll,Vines,Calyx Garden,Concentrates
216,California,200,1.06,212,OG Kush,423,Pre-Roll,2020-10-07,7,41,2020,2020-10-04,Oct,2020-10-01,570115,21154,Pre-roll,Vines,Calyx Garden,Flower
216,California,200,0.72,144,OG Kush,423,Pre-Roll,2020-11-06,6,45,2020,2020-11-01,Nov,2020-11-01,574664,22197,Pre-roll,Vines,Calyx Garden,Concentrates
558,California,200,1.04,208,OG Kush,423,Flowers,2020-11-23,23,47,2020,2020-11-22,Nov,2020-11-01,578125,23077,Pre-roll,Medithrive Direct,Flower Power,Medical
558,California,192,0.85,163.2,OG Kush,423,Pre-Roll,2020-07-25,25,30,2020,2020-07-19,Jul,2020-07-01,561109,75049L,Pre-roll,Medithrive Direct,Flower Power,Medical
725,Nova Scotia,150,1.45,217.5,OG Kush,423,Flowers,2020-08-02,2,31,2020,2020-08-02,Aug,2020-08-01,562123,22662,Pre-roll,Dummies,Herban Legends,Flower
725,Nova Scotia,144,1.04,149.76,OG Kush,423,Pre-Roll,2020-10-19,19,42,2020,2020-10-18,Oct,2020-10-01,571729,23213,Pre-roll,Dummies,Herban Legends,Flower
847,California,144,1.65,237.6,OG Kush,423,Flowers,2020-12-16,16,51,2020,2020-12-13,Dec,2020-12-01,539102,21181,Pre-roll,Medi Cone,Just Ducky,Edibles
847,California,144,1.06,152.64000000000001,OG Kush,423,Flowers,2020-11-29,29,48,2020,2020-11-29,Nov,2020-11-01,579400,22988,Pre-roll,Medi Cone,Just Ducky,Medical
847,California,144,0.36,51.839999999999996,OG Kush,423,Pre-Roll,2020-10-20,20,42,2020,2020-10-18,Oct,2020-10-01,572035,22029,Pre-roll,Medi Cone,Just Ducky,Edibles
847,California,144,1.45,208.79999999999998,OG Kush,423,Pre-Roll,2020-12-16,16,51,2020,2020-12-13,Dec,2020-12-01,539077,84949,Pre-roll,Medi Cone,Just Ducky,Medical
849,California,144,0.79,113.76,OG Kush,423,Flowers,2020-08-24,24,34,2020,2020-08-23,Aug,2020-08-01,564324,47504K,Pre-roll,Canna Cones,JustHempCo,Concentrates
849,California,144,1.45,208.79999999999998,OG Kush,423,Flowers,2020-05-12,12,19,2020,2020-05-10,May,2020-05-01,552957,84987,Pre-roll,Canna Cones,JustHempCo,Edibles
849,California,144,1.85,266.40000000000003,OG Kush,423,Pre-Roll,2020-04-04,4,14,2020,2020-03-29,Mar,2020-03-01,548718,82583,Pre-roll,Canna Cones,JustHempCo,Concentrates
849,California,128,2.69,344.32,OG Kush,423,Pre-Roll,2020-04-20,20,16,2020,2020-04-19,Apr,2020-04-01,550710,22458,Pre-roll,Canna Cones,JustHempCo,Edibles
1062,California,128,0.72,92.16,OG Kush,423,Flowers,2020-08-11,11,32,2020,2020-08-09,Aug,2020-08-01,563076,23295,Pre-roll,California Finest,Nameless Genetics,Flower
1062,California,120,1.85,222,OG Kush,423,Flowers,2020-03-29,29,13,2020,2020-03-29,Mar,2020-03-01,548010,23158,Pre-roll,California Finest,Nameless Genetics,Concentrates
1062,California,120,0.42,50.4,OG Kush,423,Flowers,2020-12-16,16,51,2020,2020-12-13,Dec,2020-12-01,539318,84991,Pre-roll,California Finest,Nameless Genetics,Vape Pens
1062,California,120,1.79,214.8,OG Kush,423,Pre-Roll,2020-08-30,30,35,2020,2020-08-30,Aug,2020-08-01,564814,23084,Pre-roll,California Finest,Nameless Genetics,Flower
1062,California,108,1.06,114.48,OG Kush,423,Pre-Roll,2020-09-05,5,36,2020,2020-08-30,Aug,2020-08-01,565475,84978,Pre-roll,California Finest,Nameless Genetics,Concentrates
1062,California,100,0.72,72,OG Kush,423,Pre-Roll,2020-03-01,1,9,2020,2020-03-01,Mar,2020-03-01,545288,20719,Pre-roll,California Finest,Nameless Genetics,Vape Pens
235,California,100,0.72,72,Girl Scout Cookies,409,Flowers,2020-11-15,15,46,2020,2020-11-15,Nov,2020-11-01,576574,22197,Pre-roll,Emeralds,Cannabinique,Medical
235,California,100,1.79,179,Girl Scout Cookies,409,Pre-Roll,2020-09-18,18,38,2020,2020-09-13,Sep,2020-09-01,567171,23201,Pre-roll,Emeralds,Cannabinique,Medical
403,Washington,100,1.79,179,Girl Scout Cookies,409,Flowers,2020-09-22,22,38,2020,2020-09-20,Sep,2020-09-01,567785,21929,Pre-roll,Medi Cone,Dawg Star Cannabis,Flower
403,Washington,100,1.45,145,Girl Scout Cookies,409,Flowers,2020-03-30,30,13,2020,2020-03-29,Mar,2020-03-01,548367,20727,Pre-roll,Medi Cone,Dawg Star Cannabis,Concentrates
403,Washington,100,1.79,179,Girl Scout Cookies,409,Flowers,2020-06-21,21,25,2020,2020-06-21,Jun,2020-06-01,557628,85099B,Pre-roll,Medi Cone,Dawg Star Cannabis,Vape Pens
403,Washington,100,0.72,72,Girl Scout Cookies,409,Pre-Roll,2020-06-21,21,25,2020,2020-06-21,Jun,2020-06-01,557628,20719,Pre-roll,Medi Cone,Dawg Star Cannabis,Flower
403,Washington,100,1.65,165,Girl Scout Cookies,409,Pre-Roll,2020-03-29,29,13,2020,2020-03-29,Mar,2020-03-01,548157,21931,Pre-roll,Medi Cone,Dawg Star Cannabis,Concentrates
403,Washington,100,1.45,145,Girl Scout Cookies,409,Pre-Roll,2020-08-04,4,31,2020,2020-08-02,Aug,2020-08-01,562348,20725,Pre-roll,Medi Cone,Dawg Star Cannabis,Vape Pens
400,California,100,1.45,145,Blue Dream,348,Flowers,2020-06-21,21,25,2020,2020-06-21,Jun,2020-06-01,557628,23206,Pre-roll,Medi Cone,Darwin Brands,Vapes
400,California,100,1.45,145,Blue Dream,348,Flowers,2020-01-05,5,1,2020,2020-01-05,Jan,2020-01-01,540176,20725,Pre-roll,Medi Cone,Darwin Brands,Edibles
400,California,96,1.06,101.76,Blue Dream,348,Pre-Roll,2020-01-13,13,2,2020,2020-01-12,Jan,2020-01-01,541088,22693,Pre-roll,Medi Cone,Darwin Brands,Vapes
400,California,96,1.25,120,Blue Dream,348,Pre-Roll,2020-02-22,22,8,2020,2020-02-16,Feb,2020-02-01,544672,21210,Pre-roll,Medi Cone,Darwin Brands,Edibles
631,California,96,1.06,101.76,Blue Dream,348,Flowers,2020-05-06,6,19,2020,2020-05-03,May,2020-05-01,552061,22178,3 Pack,SAVA,Gold Nugget Extracts,Concentrates
631,California,96,0.39,37.44,Blue Dream,348,Pre-Roll,2020-05-20,20,21,2020,2020-05-17,May,2020-05-01,553923,79030G,3 Pack,SAVA,Gold Nugget Extracts,Concentrates
1059,California,96,2.1,201.60000000000002,Blue Dream,348,Flowers,2020-03-31,31,13,2020,2020-03-29,Mar,2020-03-01,548496,84375,Pre-roll,California Finest,Mychron Extracts,Vapes
1059,California,89,2.46,218.94,Blue Dream,348,Pre-Roll,2020-03-29,29,13,2020,2020-03-29,Mar,2020-03-01,548162,20724,Pre-roll,California Finest,Mychron Extracts,Vapes
536,California,80,0.16,12.8,Gorilla Glue #4,223,Flowers,2020-03-11,11,11,2020,2020-03-08,Mar,2020-03-01,546317,16218,Pre-roll,Ganja Gold,Farm Caramels,Edibles
536,California,80,2.55,204,Gorilla Glue #4,223,Pre-Roll,2020-07-26,26,30,2020,2020-07-26,Jul,2020-07-01,561258,22904,Pre-roll,Ganja Gold,Farm Caramels,Edibles
557,California,75,0.42,31.5,Gorilla Glue #4,223,Flowers,2020-11-22,22,47,2020,2020-11-22,Nov,2020-11-01,578093,21500,Pre-roll,Medithrive Direct,Flower of Life CBD,Vapes
557,California,75,0.42,31.5,Gorilla Glue #4,223,Flowers,2020-10-28,28,44,2020,2020-10-25,Oct,2020-10-01,573153,16161P,Pre-roll,Medithrive Direct,Flower of Life CBD,Edibles
557,California,72,0.39,28.080000000000002,Gorilla Glue #4,223,Flowers,2020-11-08,8,45,2020,2020-11-08,Nov,2020-11-01,575167,22944,Pre-roll,Medithrive Direct,Flower of Life CBD,Batteries
557,California,72,0.29,20.88,Gorilla Glue #4,223,Pre-Roll,2020-11-15,15,46,2020,2020-11-15,Nov,2020-11-01,576597,22599,Pre-roll,Medithrive Direct,Flower of Life CBD,Vapes
557,California,72,2.95,212.4,Gorilla Glue #4,223,Pre-Roll,2020-06-15,15,24,2020,2020-06-14,Jun,2020-06-01,556917,84509A,Pre-roll,Medithrive Direct,Flower of Life CBD,Edibles
557,California,72,0.36,25.919999999999998,Gorilla Glue #4,223,Pre-Roll,2020-08-11,11,32,2020,2020-08-09,Aug,2020-08-01,563076,22037,Pre-roll,Medithrive Direct,Flower of Life CBD,Batteries
629,California,72,2.75,198,Gorilla Glue #4,223,Flowers,2020-10-11,11,41,2020,2020-10-11,Oct,2020-10-01,570660,21260,3 Pack,SAVA,Global Genetics,Flower
