brand_category,quantity,sales_by_cat
Vapes,1,31
Flower,35,1
Edibles,7,3
Edibles,-2,1
Medical,2,50
Vapes,12,19
Vapes,-1,2
Edibles,50,2
Edibles,400,1
Shatter,2,2
Vapes,24,8
Flower,-6,1
Flower,6,66
Vape Pens,-6,1
Edibles,96,1
Vapes,4,12
Concentrates,1,194
Edibles,5,12
Vape Pens CBD,12,1
Medical,-1,3
Concentrates,108,1
Flower,4,50
Flower,-1,5
Seeds & Clones,12,1
Flower,128,1
Flower,5,17
Accessories,46,1
Vape Pens,7,1
Vape Pens,120,1
Edibles,-3,1
Featured,4,2
Medical,10,17
Edibles,-8,1
Flower,13,3
Vape Pens,11,1
Flower,-96,1
Edibles,23,1
Featured,1,2
Vape Pens,-1,1
Flower,20,4
Apparel,12,3
Vapes,75,1
Flower,18,1
Edibles,30,2
Concentrates,10,23
Medical,-4,1
Vapes,2,25
Flower,30,2
Medical,-6,1
Medical,100,2
Apparel,16,1
Flower,57,1
Edibles,80,2
Flower,32,2
Baked Goods,1,1
Batteries,10,4
Medical,12,37
Edibles,72,2
Edibles,12,78
Apparel,-96,1
Medical,16,4
Edibles,63,1
Flower,120,1
Shatter,36,2
Edibles,48,9
Flower,144,1
Edibles,-23,1
Vape Pens,30,1
Vapes,6,9
Apparel,5,3
Concentrates,36,8
Accessories,42,1
Flower,2,120
Flower,10,13
Concentrates,120,1
