brand,brand_category,brand_cat_count
Emeralds,Edibles,38
Brown Bag Bakery,Flower,31
Kaneh Company,Concentrates,27
Buddha Bakes,Concentrates,26
Medi Cone,Edibles,26
Kaneh Company,Flower,24
Buddha Bakes,Edibles,22
Buddha Bakes,Flower,21
Emeralds,Concentrates,20
Emeralds,Flower,20
Medi Cone,Concentrates,20
Medi Cone,Flower,20
Canna Magic,Flower,19
Brown Bag Bakery,Edibles,18
Medi Cone,Medical,18
Canna Magic,Edibles,17
Magic Kitchen,Flower,16
Brown Bag Bakery,Concentrates,15
Brown Bag Bakery,Medical,15
Bubble And Buds,Concentrates,15
Buddha Bakes,Medical,14
De La Beuh,Flower,14
Natural Cannabis Company,Edibles,13
Bubble And Buds,Edibles,12
Canna Magic,Concentrates,12
JJJ (Triple J),Flower,12
Magic Kitchen,Concentrates,12
Om Edibles + Medicinals,Flower,12
Sun God Medicinals,Flower,12
Truly Edibles,Concentrates,12
Siddhi Bhang Infusions,Concentrates,11
Americone,Flower,10
Bubble And Buds,Flower,10
California Finest,Concentrates,10
California Finest,Edibles,10
Canna Magic,Medical,10
Kaneh Company,Medical,10
Lunchbox Alchemy,Edibles,10
Om Edibles + Medicinals,Medical,10
Royal Highness,Concentrates,10
Truly Edibles,Flower,10
Botanical Health Systems,Edibles,9
Eco Firma Farms,Flower,9
Infinite Flower Organics,Edibles,9
Singing Bird Family Farm,Concentrates,9
Singing Bird Family Farm,Flower,9
Artisan Elixirs,Concentrates,8
Bubble And Buds,Medical,8
Cali Gold,Concentrates,8
Canna Cones,Edibles,8
