brand_category,quantity,sales_by_cat
Concentrates,16,6
Flower,10,11
Medical,2,49
Medical,24,23
Apparel,5,1
Concentrates,15,3
Batteries,10,4
Edibles,-38,1
Flower,18,6
Vape Pens,12,27
Medical,-1,2
Accessories,48,2
Medical,25,5
Concentrates,18,2
Budder,-3,1
Edibles,-24,1
Concentrates,160,1
Flower,240,1
Concentrates,72,4
Vape Pens,120,1
Edibles,9,2
Medical,3,15
Concentrates,120,1
Medical,1,94
Baked Goods,1,1
Concentrates,13,1
Flower,60,3
Edibles,432,1
Concentrates,80,1
Medical,6,16
Edibles,10,29
Medical,16,8
Concentrates,612,1
Batteries,24,2
Featured,12,3
Flower,300,1
Edibles,40,4
Concentrates,-1,5
Vape Pens,-9,1
Flower,9,3
Edibles,200,1
Vapes,1,30
Vapes,2,27
Flower,75,1
Flower,-1100,1
Vapes,21,1
Flower,11,4
Flower,-2,5
Edibles,-13,1
Vapes,100,5
Flower,16,4
Flower,288,1
Edibles,65,1
Concentrates,10,24
Vape Pens,36,2
Edibles,72,4
Apparel,-1479,1
Concentrates,-2,3
Vape Pens,5,2
Batteries,2,9
Flower,-3,1
Featured,2,4
Vape Pens,-240,1
Vape Pens,8,4
Flower,3,50
Medical,10,10
Edibles,168,1
Flower,14,1
Concentrates,-12,1
Medical,-36,1
Medical,12,43
Concentrates,-14,1
Concentrates,144,2
Featured,1,2
Flower,-17,1
