brand,brand_category,brand_cat_count
Emeralds,Edibles,38
Brown Bag Bakery,Flower,31
Kaneh Company,Concentrates,27
Buddha Bakes,Concentrates,26
Medi Cone,Edibles,26
Kaneh Company,Flower,24
Buddha Bakes,Edibles,22
Buddha Bakes,Flower,21
Emeralds,Concentrates,20
Emeralds,Flower,20
Medi Cone,Concentrates,20
Medi Cone,Flower,20
Canna Magic,Flower,19
Brown Bag Bakery,Edibles,18
Medi Cone,Medical,18
Canna Magic,Edibles,17
Magic Kitchen,Flower,16
Brown Bag Bakery,Concentrates,15
Brown Bag Bakery,Medical,15
Bubble And Buds,Concentrates,15
Buddha Bakes,Medical,14
De La Beuh,Flower,14
Natural Cannabis Company,Edibles,13
Bubble And Buds,Edibles,12
Canna Magic,Concentrates,12
