week_year,week_qty,prev_week,wow_quantity,month,quar,quar_fct
2019-12-29,28,NA,NA,Dec,4,Q4
2020-01-05,478,28,16.071428571428573,Jan,1,Q1
2020-01-12,273,478,-0.42887029288702927,Jan,1,Q1
2020-01-19,330,273,0.2087912087912088,Jan,1,Q1
2020-01-26,328,330,-0.006060606060606061,Jan,1,Q1
2020-02-02,512,328,0.5609756097560976,Feb,1,Q1
2020-02-09,304,512,-0.40625,Feb,1,Q1
2020-02-16,431,304,0.41776315789473684,Feb,1,Q1
2020-02-23,232,431,-0.4617169373549884,Feb,1,Q1
2020-03-01,193,232,-0.16810344827586207,Mar,1,Q1
2020-03-08,-868,193,-5.4974093264248705,Mar,1,Q1
2020-03-15,339,-868,-1.390552995391705,Mar,1,Q1
2020-03-22,337,339,-0.0058997050147492625,Mar,1,Q1
2020-03-29,332,337,-0.01483679525222552,Mar,1,Q1
2020-04-05,-812,332,-3.4457831325301207,Apr,2,Q2
2020-04-12,1148,-812,-2.413793103448276,Apr,2,Q2
2020-04-19,111,1148,-0.9033101045296167,Apr,2,Q2
2020-04-26,310,111,1.7927927927927927,Apr,2,Q2
2020-05-03,520,310,0.6774193548387096,May,2,Q2
2020-05-10,558,520,0.07307692307692308,May,2,Q2
2020-05-17,516,558,-0.07526881720430108,May,2,Q2
2020-05-24,293,516,-0.4321705426356589,May,2,Q2
2020-05-31,236,293,-0.1945392491467577,May,2,Q2
2020-06-07,1075,236,3.555084745762712,Jun,2,Q2
2020-06-14,892,1075,-0.1702325581395349,Jun,2,Q2
2020-06-21,310,892,-0.6524663677130045,Jun,2,Q2
2020-06-28,296,310,-0.04516129032258064,Jun,2,Q2
2020-07-05,392,296,0.32432432432432434,Jul,3,Q3
2020-07-12,511,392,0.30357142857142855,Jul,3,Q3
2020-07-19,395,511,-0.22700587084148727,Jul,3,Q3
2020-07-26,582,395,0.47341772151898737,Jul,3,Q3
2020-08-02,344,582,-0.40893470790378006,Aug,3,Q3
2020-08-09,591,344,0.7180232558139535,Aug,3,Q3
2020-08-16,276,591,-0.5329949238578681,Aug,3,Q3
2020-08-23,396,276,0.43478260869565216,Aug,3,Q3
2020-08-30,448,396,0.13131313131313133,Aug,3,Q3
2020-09-06,423,448,-0.05580357142857143,Sep,3,Q3
2020-09-13,854,423,1.0189125295508275,Sep,3,Q3
2020-09-20,1051,854,0.2306791569086651,Sep,3,Q3
2020-09-27,569,1051,-0.4586108468125595,Sep,3,Q3
2020-10-04,566,569,-0.005272407732864675,Oct,4,Q4
2020-10-11,900,566,0.5901060070671378,Oct,4,Q4
2020-10-18,937,900,0.04111111111111111,Oct,4,Q4
2020-10-25,-4038,937,-5.309498399146212,Oct,4,Q4
2020-11-01,1357,-4038,-1.3360574541852401,Nov,4,Q4
2020-11-08,1492,1357,0.09948415622697127,Nov,4,Q4
2020-11-15,1259,1492,-0.15616621983914208,Nov,4,Q4
2020-11-22,777,1259,-0.38284352660841936,Nov,4,Q4
2020-11-29,1352,777,0.7400257400257401,Nov,4,Q4
2020-12-06,1405,1352,0.03920118343195266,Dec,4,Q4
2020-12-13,396,1405,-0.7181494661921708,Dec,4,Q4
2020-12-20,48,396,-0.8787878787878788,Dec,4,Q4
