invoice_date,product_name,product_rank,product_category,product_details,brand_name,location,product_price,units_sold,dow,week,yr,week_year,month,floor_month
2018-01-01T09:14:43Z,Sour Diesel,1,Shatter,Shatter,Stagecoach,California,35.51,5,1,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-01T10:53:23Z,Sour Diesel,1,Vapes,Vaporizer Cartridge,AbsoluteXtracts,California,84.29,3,1,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-01T12:00:43Z,Sour Diesel,1,Vape Cartidge,Vaporizer Cartridge,AbsoluteXtracts,California,84.29,7,1,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-01T12:44:07Z,Sour Diesel,1,Concentrate,Crumble,California Gold Concentrates,California,29.83,4,1,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-01T19:37:35Z,Sour Diesel,1,Crumble,Crumble,California Gold Concentrates,California,29.83,4,1,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-01T22:12:06Z,Sour Diesel,1,Wax,Crumble,California Gold Concentrates,California,29.83,9,1,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-02T00:05:16Z,Sour Diesel,1,Concentrate,Oil,Original Nectar,California,24.35,9,1,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-02T05:39:19Z,Sour Diesel,1,Oil,Oil,Original Nectar,California,24.35,9,1,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-02T10:06:25Z,Sour Diesel,1,Concentrate,Crumble,Lunchbox Alchemy,Oregon,29.83,9,2,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-02T15:30:49Z,Sour Diesel,1,Crumble,Crumble,Lunchbox Alchemy,Oregon,29.83,4,2,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-02T16:15:20Z,Sour Diesel,1,Wax,Crumble,Lunchbox Alchemy,Oregon,29.83,3,2,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-02T18:00:08Z,Sour Diesel,1,Concentrate,Oil,Brite Labs,California,24.35,10,2,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-02T19:44:30Z,Sour Diesel,1,Oil,Oil,Brite Labs,California,24.35,2,2,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-02T23:01:30Z,Sour Diesel,1,Concentrate,Shatter,White Label Extracts,Oregon,35.51,7,2,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-02T23:28:20Z,Sour Diesel,1,Shatter,Shatter,White Label Extracts,Oregon,35.51,6,2,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-03T01:12:10Z,Sour Diesel,1,Concentrate,Oil,710 Labs,California,24.35,10,2,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-03T04:58:56Z,Sour Diesel,1,Oil,Oil,710 Labs,California,24.35,6,2,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-03T05:18:28Z,Sour Diesel,1,Concentrate,Wax,Lunchbox Alchemy,Oregon,8.18,8,2,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-03T13:39:09Z,Sour Diesel,1,Wax,Wax,Lunchbox Alchemy,Oregon,8.18,8,3,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-03T13:58:27Z,Sour Diesel,1,Concentrate,Crumble,Waxman Concentrates,California,29.83,6,3,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-03T18:32:01Z,Sour Diesel,1,Crumble,Crumble,Waxman Concentrates,California,29.83,6,3,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-04T01:01:12Z,Sour Diesel,1,Wax,Crumble,Waxman Concentrates,California,29.83,6,3,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-04T06:03:50Z,Sour Diesel,1,Vapes,Vaporizer Cartridge,The CO2 Company,Oregon,84.29,6,3,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-04T07:52:44Z,Sour Diesel,1,Vape Cartidge,Vaporizer Cartridge,The CO2 Company,Oregon,84.29,8,3,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-04T10:20:37Z,Sour Diesel,1,Concentrate,Oil,NW KIND,Oregon,24.35,3,4,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-04T11:04:03Z,Sour Diesel,1,Oil,Oil,NW KIND,Oregon,24.35,7,4,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-04T14:17:43Z,Sour Diesel,1,Concentrate,Crumble,Skunk Feather Concentrates,California,29.83,5,4,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-04T18:32:53Z,Sour Diesel,1,Crumble,Crumble,Skunk Feather Concentrates,California,29.83,1,4,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-04T23:18:47Z,Sour Diesel,1,Wax,Crumble,Skunk Feather Concentrates,California,29.83,10,4,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-05T00:24:08Z,Sour Diesel,1,Concentrate,Wax,West Coast Cure,California,8.18,10,4,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-05T02:45:01Z,Sour Diesel,1,Wax,Wax,West Coast Cure,California,8.18,1,4,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-05T06:04:21Z,Sour Diesel,1,Concentrate,Wax,Brite Labs,California,8.18,3,4,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-05T16:21:38Z,Sour Diesel,1,Wax,Wax,Brite Labs,California,8.18,8,5,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
2018-01-05T20:00:45Z,Sour Diesel,1,Vapes,Vaporizer Cartridge,American Flower,California,84.29,5,5,1,2018,2017-12-31T08:00:00Z,Dec,2017-12-01T08:00:00Z
