product_category,units_sold,units_by_prod_cat
Oil,7,30
Oil,2,40
Chocolate,2,16
Chocolate,3,19
Tincture,2,7
Crumble,5,8
Spread,6,1
Pill,10,3
Edibles,2,98
Snack,10,8
Edibles,10,63
Pill,4,3
Wax,6,35
Pill,7,10
Tincture,5,7
Disposable Vape,1,5
Topical,2,11
Kief,2,1
Pre-Roll,8,5
Bubble Hash,2,1
Crumble,6,6
Candy,1,18
Snack,1,6
Pre-Roll,7,2
Concentrate,6,128
Tincture,1,5
Topical,7,14
Vapes,3,52
Wax,8,47
Vapes,1,30
Crumble,7,9
Topical,5,12
Snack,9,16
Chocolate,9,11
Oil,6,30
Bath,2,1
Bath,6,3
Oil,10,18
Candy,4,43
Spread,3,1
Vape Cartidge,5,45
Drink,9,5
Pre-Roll,3,3
Bath,9,3
Bath,10,1
Vape Cartidge,9,46
Candy,3,37
Bath,4,2
Flowers,8,3
Chocolate,5,8
Crumble,3,16
Wax,4,25
Topical,9,10
Flowers,9,12
Bubble Hash,6,1
Chocolate,6,18
Disposable Vape,2,4
Edibles,3,98
Flowers,2,11
RSO,5,1
Snack,5,18
Concentrate,7,101
Shatter,5,50
Concentrate,10,69
Tincture,6,6
Vapes,6,50
Spread,2,3
Wax,5,42
Candy,2,34
Candy,7,42
Vapes,7,52
Drink,7,5
Pre-Roll,5,8
Concentrate,2,108
Wax,3,37
